Name,Vote Average,Vote Count,Release Date
12 Monkeys,7.4,2264,1995-12-29
Allegiant,5.8,1834,2016-03-09
American Psycho,7.2,1918,2000-04-13
Ant Man,7,5486,2015-07-14
Baaghi,6.5,17,2016-04-29
Bad Boys,6.5,1607,1995-04-07
Bad Boys II,6.3,1481,2003-07-18
Ballers,0,0,2004-08-23
Barfi,7.1,78,2012-09-14
Barkhaa,4.3,6,2015-03-27
Basic,6.1,271,2003-04-18
BHAAG JOHNNY,8,1,2015-09-25
Billa 2,5.9,9,2012-07-13
Billa,6.3,14,2007-12-14
Black Mass,6.3,1200,2015-09-04
Bridge of Spies,7.2,2437,2015-10-15
Burnt,6.4,906,2015-10-02
Cinderella Man,7.3,580,2005-06-02
Citizenfour,7.9,487,2014-10-10
Creed,7.3,1787,2015-11-25
Dead Silence,6.2,476,2007-03-16
Deadpool,7.4,10028,2016-02-09
Dharam Sankat Mein,6.8,4,2015-04-10
Dishoom,5.3,18,2016-07-29
Dolly ki Doli,5.3,8,2015-01-23
Drishyam,7.4,46,2015-07-31
Focus,6.7,2420,2015-02-25
From Hell,6.6,685,2001-10-19
Gods of Egypt,5.2,1186,2016-02-25
Hitman Agent 47,5.5,1102,2015-08-20
Hotel Transylvania 2,6.7,1386,2015-09-21
Inside Out,8,5989,2015-06-09
Interstellar,8.1,10061,2014-11-05
Ip Man 3,6.4,357,2015-12-19
It Follows,6.6,1675,2015-02-04
Jazbaa,6.1,12,2015-10-09
John Wick Chapter 2,6.6,2518,2017-02-08
Jurassic World,6.5,8160,2015-06-09
Kung Fu Panda 3,6.7,1485,2016-01-23
Lucy,6.2,5506,2014-07-14
Mankatha,5.4,12,2011-08-31
Mardaani,6.9,19,2014-08-22
Max,7.2,8884,2015-05-13
Maze Runner The Scorch Trials,6.4,2831,2015-09-09
Michael Clayton,6.5,475,2007-09-28
Mission Impossible   Rogue Nation,7.1,3101,2015-07-23
PHANTOM,5.6,17,2015-08-28
Raja Huli,0,0,2013-11-01
Rocky Handsome,6,15,2016-03-25
Rustom,7.3,21,2016-08-12
Seventh Son,5.2,918,2014-12-12
Singh Is Bling,5.8,20,2015-10-02
Southpaw,7.3,1935,2015-06-15
Spectre,6.3,4275,2015-10-26
Star Wars Episode VII The Force Awakens,7.5,7430,2015-12-15
Tamasha,6.5,31,2015-11-27
Ted 2,6.2,2311,2015-06-25
The Hunt for Red October,7.1,899,1990-03-02
The Interview,6.1,2208,2014-12-25
The Last Witch Hunter,5.7,1249,2015-10-21
The Purge,5.9,2279,2013-05-31
The Raven,6.1,406,2012-03-09
The Big Short,7.3,2464,2015-12-11
The Constant Gardener,6.8,396,2005-08-31
The Constant Gardener,6.8,396,2005-08-31
The Gambler,5.7,534,2014-12-25
The Huntsman Winters War,6,1403,2016-04-06
The Huntsman Winters War,6,1403,2016-04-06
The Intern,7.1,1783,2015-09-24
The Man from U N C L E,7.6,320,2010-08-04
The Martian,7.6,6780,2015-09-30
The Nice Guys,7,2152,2016-05-15
The Suicide Theory,6.2,36,2015-07-10
The Transporter Refueled,5.2,548,2015-09-03
The Walk,6.9,1047,2015-09-30
Tinker Tailor Soldier Spy,6.6,786,2011-09-16
Tomorrowland,6.2,2712,2015-05-19
Trainwreck,5.9,1123,2015-07-17
Udta Punjab,7.5,24,2016-06-17
Ungli,6.4,7,2014-11-28
Vedalam,6,8,2015-11-10
Vishwaroopam,5.7,22,2013-01-25
Whiplash,8.3,3948,2014-10-10
WWE Backlash,8.5,4,2016-09-11
X Men Apocalypse,6.4,4374,2016-05-18
Central Intelligence,6.2,1554,2016-06-15
Snow White and the Huntsman,5.7,2950,2012-05-30
